frame,packet_index_zero_based,timestamp_utc,relative_ms,usb_bus,usb_device,usbpcap_function_numeric,function_semantic_class,status,status_semantic,transfer_type,endpoint,direction,usbpcap_info,urb_stage,data_length,wrapper,a0_control,marker_operator_phase,interpretation,evidence_class
59,58,2026-08-22T20:56:43.677669Z,131.415,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
60,59,2026-08-22T20:56:43.678098Z,131.844,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xa2,VM_USB_ATTACH_BEGIN,sensor reset family,OBSERVED
61,60,2026-08-22T20:56:43.678429Z,132.175,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
62,61,2026-08-22T20:56:43.678461Z,132.207,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
63,62,2026-08-22T20:56:43.678628Z,132.374,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
64,63,2026-08-22T20:56:43.705394Z,159.140,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,11,0xa0,0xa2,VM_USB_ATTACH_BEGIN,sensor reset family,OBSERVED
65,64,2026-08-22T20:56:43.706548Z,160.294,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
66,65,2026-08-22T20:56:43.715724Z,169.470,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0x82,VM_USB_ATTACH_BEGIN,bounded chip register read,OBSERVED
67,66,2026-08-22T20:56:43.716400Z,170.146,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
68,67,2026-08-22T20:56:43.716486Z,170.232,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
